Time;pod;Value;
2022-04-07 09:49:31;catalog-service-5df84bc88c-k8v9q;770.60 MB;
2022-04-07 09:49:01;catalog-service-5df84bc88c-k8v9q;770.60 MB;
2022-04-07 09:48:31;catalog-service-5df84bc88c-k8v9q;513.53 MB;
2022-04-07 09:48:01;catalog-service-5df84bc88c-k8v9q;256.43 MB;
2022-04-07 09:47:31;catalog-service-5df84bc88c-k8v9q;256.43 MB;
2022-04-07 09:47:01;catalog-service-5df84bc88c-k8v9q;256.43 MB;
2022-04-07 09:46:31;catalog-service-5df84bc88c-k8v9q;256.43 MB;
2022-04-07 09:45:01;catalog-service-5df84bc88c-k8v9q;252.26 MB;
2022-04-07 09:44:31;catalog-service-5df84bc88c-k8v9q;505.95 MB;
2022-04-07 09:44:01;catalog-service-5df84bc88c-k8v9q;505.95 MB;
2022-04-07 09:43:31;catalog-service-5df84bc88c-k8v9q;505.95 MB;
2022-04-07 09:43:01;catalog-service-5df84bc88c-k8v9q;505.95 MB;
2022-04-07 09:42:31;catalog-service-5df84bc88c-k8v9q;505.95 MB;
2022-04-07 09:42:01;catalog-service-5df84bc88c-k8v9q;505.95 MB;
2022-04-07 09:41:31;catalog-service-5df84bc88c-k8v9q;505.95 MB;
2022-04-07 09:41:01;catalog-service-5df84bc88c-k8v9q;754.24 MB;
2022-04-07 09:40:31;catalog-service-5df84bc88c-k8v9q;754.24 MB;
2022-04-07 09:40:01;catalog-service-5df84bc88c-k8v9q;501.98 MB;
2022-04-07 09:39:31;catalog-service-5df84bc88c-k8v9q;248.29 MB;
2022-04-07 09:39:01;catalog-service-5df84bc88c-k8v9q;496.13 MB;
2022-04-07 09:38:31;catalog-service-5df84bc88c-k8v9q;496.13 MB;
2022-04-07 09:38:01;catalog-service-5df84bc88c-k8v9q;496.13 MB;
2022-04-07 09:37:31;catalog-service-5df84bc88c-k8v9q;744.01 MB;
2022-04-07 09:37:01;catalog-service-5df84bc88c-k8v9q;744.01 MB;
2022-04-07 09:36:31;catalog-service-5df84bc88c-k8v9q;744.01 MB;
2022-04-07 09:36:01;catalog-service-5df84bc88c-k8v9q;495.72 MB;
2022-04-07 09:35:31;catalog-service-5df84bc88c-k8v9q;495.72 MB;
2022-04-07 09:35:01;catalog-service-5df84bc88c-k8v9q;495.72 MB;
2022-04-07 09:34:31;catalog-service-5df84bc88c-k8v9q;495.72 MB;
2022-04-07 09:34:01;catalog-service-5df84bc88c-k8v9q;247.87 MB;
2022-04-07 09:33:31;catalog-service-5df84bc88c-k8v9q;247.87 MB;
2022-04-07 09:33:01;catalog-service-5df84bc88c-k8v9q;247.87 MB;
2022-04-07 09:31:31;catalog-service-5df84bc88c-k8v9q;256.18 MB;
2022-04-07 09:31:01;catalog-service-5df84bc88c-k8v9q;256.18 MB;
2022-04-07 09:30:31;catalog-service-5df84bc88c-k8v9q;256.18 MB;
2022-04-07 09:30:01;catalog-service-5df84bc88c-k8v9q;256.18 MB;
